Tipo,Tiempo (ms)
conexion,29
conexion,1
conexion,2
conexion,1
conexion,1
conexion,2
conexion,1
conexion,0
conexion,0
conexion,3
conexion,2
conexion,1
conexion,2
conexion,2
conexion,2
conexion,0
conexion,0
conexion,1
conexion,2
conexion,2
conexion,2
conexion,2
conexion,2
conexion,2
conexion,2
conexion,1
conexion,2
conexion,2
conexion,2
conexion,2
conexion,2
conexion,2
descifrado,3
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,1
descifrado,0
descifrado,1
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,1
descifrado,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
