Tipo,Tiempo (ms)
conexion,31
conexion,16
conexion,1
conexion,0
conexion,1
conexion,1
conexion,2
conexion,2
conexion,5
conexion,1
conexion,1
conexion,3
conexion,1
conexion,2
conexion,11
conexion,4
conexion,5
conexion,11
conexion,1
conexion,25
conexion,49
conexion,21
conexion,15
conexion,15
conexion,22
conexion,19
conexion,18
conexion,11
conexion,17
conexion,10
conexion,1
conexion,4
conexion,3
conexion,6
conexion,1
conexion,0
conexion,2
conexion,5
conexion,2
conexion,2
conexion,3
conexion,3
conexion,8
conexion,5
conexion,1
conexion,1
conexion,2
conexion,1
conexion,2
conexion,1
conexion,1
conexion,1
conexion,1
conexion,0
conexion,1
conexion,0
conexion,1
conexion,0
conexion,1
conexion,0
conexion,1
conexion,1
conexion,2
conexion,8
descifrado,0
descifrado,6
descifrado,7
descifrado,7
descifrado,7
descifrado,7
descifrado,6
descifrado,7
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
descifrado,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
verificacion,0
