Tipo,Tiempo (ms),Modo_Cifrado
conexion,29,RSA
conexion,1,RSA
conexion,0,RSA
conexion,0,RSA
conexion,3,RSA
conexion,9,RSA
conexion,2,RSA
conexion,1,RSA
conexion,1,RSA
conexion,1,RSA
conexion,1,RSA
conexion,1,RSA
conexion,1,RSA
conexion,0,RSA
conexion,1,RSA
conexion,0,RSA
descifrado,1,RSA
descifrado,1,RSA
descifrado,1,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
verificacion,2,RSA
verificacion,2,RSA
verificacion,1,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
tiempo_total,22,RSA
tiempo_total,128,RSA
tiempo_total,32,RSA
tiempo_total,235,RSA
tiempo_total,34,RSA
tiempo_total,73,RSA
tiempo_total,32,RSA
tiempo_total,186,RSA
tiempo_total,30,RSA
tiempo_total,290,RSA
tiempo_total,4,RSA
tiempo_total,23,RSA
tiempo_total,9,RSA
tiempo_total,28,RSA
tiempo_total,5,RSA
tiempo_total,12,RSA
tiempo_total,5,RSA
tiempo_total,12,RSA
tiempo_total,9,RSA
tiempo_total,18,RSA
tiempo_total,9,RSA
tiempo_total,17,RSA
tiempo_total,4,RSA
tiempo_total,9,RSA
tiempo_total,3,RSA
tiempo_total,9,RSA
tiempo_total,3,RSA
tiempo_total,8,RSA
tiempo_total,3,RSA
tiempo_total,8,RSA
tiempo_total,4,RSA
tiempo_total,8,RSA
