Tipo,Tiempo (ms),Modo_Cifrado
conexion,30,RSA
conexion,2,RSA
conexion,1,RSA
conexion,1,RSA
conexion,2,RSA
conexion,1,RSA
conexion,2,RSA
conexion,2,RSA
conexion,2,RSA
conexion,0,RSA
conexion,1,RSA
conexion,2,RSA
conexion,2,RSA
conexion,1,RSA
conexion,2,RSA
conexion,2,RSA
conexion,2,RSA
conexion,2,RSA
conexion,0,RSA
conexion,1,RSA
conexion,1,RSA
conexion,0,RSA
conexion,1,RSA
conexion,1,RSA
conexion,2,RSA
conexion,1,RSA
conexion,2,RSA
conexion,0,RSA
conexion,1,RSA
conexion,0,RSA
conexion,1,RSA
conexion,2,RSA
descifrado,1,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,1,RSA
descifrado,0,RSA
descifrado,1,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,1,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,1,RSA
descifrado,0,RSA
descifrado,1,RSA
descifrado,0,RSA
descifrado,1,RSA
descifrado,0,RSA
descifrado,0,RSA
descifrado,1,RSA
verificacion,2,RSA
verificacion,0,RSA
verificacion,3,RSA
verificacion,0,RSA
verificacion,1,RSA
verificacion,1,RSA
verificacion,1,RSA
verificacion,2,RSA
verificacion,1,RSA
verificacion,0,RSA
verificacion,1,RSA
verificacion,1,RSA
verificacion,1,RSA
verificacion,0,RSA
verificacion,2,RSA
verificacion,2,RSA
verificacion,2,RSA
verificacion,1,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,1,RSA
verificacion,0,RSA
verificacion,1,RSA
verificacion,0,RSA
verificacion,1,RSA
verificacion,0,RSA
verificacion,0,RSA
verificacion,0,RSA
tiempo_total,11,RSA
tiempo_total,209,RSA
tiempo_total,11,RSA
tiempo_total,59,RSA
tiempo_total,24,RSA
tiempo_total,40,RSA
tiempo_total,6,RSA
tiempo_total,13,RSA
tiempo_total,18,RSA
tiempo_total,38,RSA
tiempo_total,12,RSA
tiempo_total,25,RSA
tiempo_total,18,RSA
tiempo_total,39,RSA
tiempo_total,14,RSA
tiempo_total,29,RSA
tiempo_total,10,RSA
tiempo_total,26,RSA
tiempo_total,4,RSA
tiempo_total,8,RSA
tiempo_total,8,RSA
tiempo_total,18,RSA
tiempo_total,13,RSA
tiempo_total,27,RSA
tiempo_total,18,RSA
tiempo_total,34,RSA
tiempo_total,7,RSA
tiempo_total,15,RSA
tiempo_total,13,RSA
tiempo_total,28,RSA
tiempo_total,16,RSA
tiempo_total,31,RSA
tiempo_total,19,RSA
tiempo_total,35,RSA
tiempo_total,13,RSA
tiempo_total,28,RSA
tiempo_total,3,RSA
tiempo_total,8,RSA
tiempo_total,7,RSA
tiempo_total,14,RSA
tiempo_total,4,RSA
tiempo_total,9,RSA
tiempo_total,3,RSA
tiempo_total,11,RSA
tiempo_total,4,RSA
tiempo_total,10,RSA
tiempo_total,4,RSA
tiempo_total,10,RSA
tiempo_total,10,RSA
tiempo_total,25,RSA
tiempo_total,5,RSA
tiempo_total,10,RSA
tiempo_total,19,RSA
tiempo_total,34,RSA
tiempo_total,2,RSA
tiempo_total,6,RSA
tiempo_total,13,RSA
tiempo_total,25,RSA
tiempo_total,2,RSA
tiempo_total,5,RSA
tiempo_total,3,RSA
tiempo_total,7,RSA
tiempo_total,12,RSA
tiempo_total,26,RSA
